"","pattern","replacement","feature","sentiment"
"1999"," (nicht|nichts|kein|keine|keinen) aalen "," NOT_aalen "," NOT_aalen ",-1
"21164"," (nicht|nichts|kein|keine|keinen) aalglatt "," NOT_aalglatt "," NOT_aalglatt ",1
"21165"," (nicht|nichts|kein|keine|keinen) aasen "," NOT_aasen "," NOT_aasen ",1
"21166"," (nicht|nichts|kein|keine|keinen) aasig "," NOT_aasig "," NOT_aasig ",1
"17540"," (nicht|nichts|kein|keine|keinen) abandon "," NOT_abandon "," NOT_abandon ",1
"21167"," (nicht|nichts|kein|keine|keinen) abarbeiten "," NOT_abarbeiten "," NOT_abarbeiten ",1
"17541"," (nicht|nichts|kein|keine|keinen) abart "," NOT_abart "," NOT_abart ",1
"21168"," (nicht|nichts|kein|keine|keinen) abartig "," NOT_abartig "," NOT_abartig ",1
"17542"," (nicht|nichts|kein|keine|keinen) abbau "," NOT_abbau "," NOT_abbau ",1
"17543"," (nicht|nichts|kein|keine|keinen) abbaue "," NOT_abbaue "," NOT_abbaue ",1
"17544"," (nicht|nichts|kein|keine|keinen) abbauen "," NOT_abbauen "," NOT_abbauen ",1
"17545"," (nicht|nichts|kein|keine|keinen) abbaues "," NOT_abbaues "," NOT_abbaues ",1
"17546"," (nicht|nichts|kein|keine|keinen) abbaus "," NOT_abbaus "," NOT_abbaus ",1
"2000"," (nicht|nichts|kein|keine|keinen) abbauwürdig "," NOT_abbauwürdig "," NOT_abbauwürdig ",-1
"17547"," (nicht|nichts|kein|keine|keinen) abbildungsfehler "," NOT_abbildungsfehler "," NOT_abbildungsfehler ",1
"17548"," (nicht|nichts|kein|keine|keinen) abbildverzerrung "," NOT_abbildverzerrung "," NOT_abbildverzerrung ",1
"21169"," (nicht|nichts|kein|keine|keinen) abbinden "," NOT_abbinden "," NOT_abbinden ",1
"17549"," (nicht|nichts|kein|keine|keinen) abblendung "," NOT_abblendung "," NOT_abblendung ",1
"21170"," (nicht|nichts|kein|keine|keinen) abblocken "," NOT_abblocken "," NOT_abblocken ",1
"17550"," (nicht|nichts|kein|keine|keinen) abbohrung "," NOT_abbohrung "," NOT_abbohrung ",1
"21171"," (nicht|nichts|kein|keine|keinen) abbrechen "," NOT_abbrechen "," NOT_abbrechen ",1
"21172"," (nicht|nichts|kein|keine|keinen) abbringen "," NOT_abbringen "," NOT_abbringen ",1
"21174"," (nicht|nichts|kein|keine|keinen) abbröckeln "," NOT_abbröckeln "," NOT_abbröckeln ",1
"17551"," (nicht|nichts|kein|keine|keinen) abbruch "," NOT_abbruch "," NOT_abbruch ",1
"17555"," (nicht|nichts|kein|keine|keinen) abbrüche "," NOT_abbrüche "," NOT_abbrüche ",1
"17556"," (nicht|nichts|kein|keine|keinen) abbrüchen "," NOT_abbrüchen "," NOT_abbrüchen ",1
"17552"," (nicht|nichts|kein|keine|keinen) abbruches "," NOT_abbruches "," NOT_abbruches ",1
"21173"," (nicht|nichts|kein|keine|keinen) abbruchreif "," NOT_abbruchreif "," NOT_abbruchreif ",1
"17553"," (nicht|nichts|kein|keine|keinen) abbruchs "," NOT_abbruchs "," NOT_abbruchs ",1
"17554"," (nicht|nichts|kein|keine|keinen) abbruchstelle "," NOT_abbruchstelle "," NOT_abbruchstelle ",1
"17557"," (nicht|nichts|kein|keine|keinen) abdampf "," NOT_abdampf "," NOT_abdampf ",1
"21188"," (nicht|nichts|kein|keine|keinen) abdämpfen "," NOT_abdämpfen "," NOT_abdämpfen ",1
"17560"," (nicht|nichts|kein|keine|keinen) abdämpfung "," NOT_abdämpfung "," NOT_abdämpfung ",1
"17561"," (nicht|nichts|kein|keine|keinen) abdämpfungen "," NOT_abdämpfungen "," NOT_abdämpfungen ",1
"21175"," (nicht|nichts|kein|keine|keinen) abdank "," NOT_abdank "," NOT_abdank ",1
"21176"," (nicht|nichts|kein|keine|keinen) abdanke "," NOT_abdanke "," NOT_abdanke ",1
