"","feature","sentiment"
"1999"," aalen ","1"
"21164"," aalglatt ","-1"
"21165"," aasen ","-1"
"21166"," aasig ","-1"
"17540"," abandon ","-1"
"21167"," abarbeiten ","-1"
"17541"," abart ","-1"
"21168"," abartig ","-1"
"17542"," abbau ","-1"
"17543"," abbaue ","-1"
"17544"," abbauen ","-1"
"17545"," abbaues ","-1"
"17546"," abbaus ","-1"
"2000"," abbauwürdig ","1"
"17547"," abbildungsfehler ","-1"
"17548"," abbildverzerrung ","-1"
"21169"," abbinden ","-1"
"17549"," abblendung ","-1"
"21170"," abblocken ","-1"
"17550"," abbohrung ","-1"
"21171"," abbrechen ","-1"
"21172"," abbringen ","-1"
"21174"," abbröckeln ","-1"
"17551"," abbruch ","-1"
"17555"," abbrüche ","-1"
"17556"," abbrüchen ","-1"
"17552"," abbruches ","-1"
"21173"," abbruchreif ","-1"
"17553"," abbruchs ","-1"
"17554"," abbruchstelle ","-1"
"17557"," abdampf ","-1"
"21188"," abdämpfen ","-1"
"17560"," abdämpfung ","-1"
"17561"," abdämpfungen ","-1"
"21175"," abdank ","-1"
"21176"," abdanke ","-1"
"21177"," abdanken ","-1"
"21178"," abdankest ","-1"
"21179"," abdanket ","-1"
"21180"," abdankst ","-1"
"21181"," abdankt ","-1"
"21182"," abdankte ","-1"
"21183"," abdankten ","-1"
"21184"," abdanktest ","-1"
"21185"," abdanktet ","-1"
"17558"," abdankung ","-1"
"17559"," abdankungen ","-1"
"21186"," abdecken ","-1"
"21187"," abdrosseln ","-1"
"21189"," abebben ","-1"
"17562"," abenteuerlichkeit ","-1"
"17563"," abenteuerpolitik ","-1"
"17564"," aberglaube ","-1"
"21190"," abergläubig ","-1"
"21191"," abergläubisch ","-1"
"21192"," aberkennen ","-1"
"17565"," aberkennung ","-1"
"17566"," aberration ","-1"
"21193"," aberwitzig ","-1"
"17567"," abfall ","-1"
"17568"," abfallbrennstoff ","-1"
"17584"," abfälle ","-1"
"21194"," abfallen ","-1"
"17585"," abfällen ","-1"
"17569"," abfalles ","-1"
"21196"," abfällig ","-1"
"21197"," abfällige ","-1"
"21198"," abfälligem ","-1"
"21199"," abfälligen ","-1"
"21200"," abfälliger ","-1"
"21201"," abfälligere ","-1"
"21202"," abfälligerem ","-1"
"21203"," abfälligeren ","-1"
"21204"," abfälligerer ","-1"
"21205"," abfälligeres ","-1"
"21206"," abfälliges ","-1"
"21207"," abfälligst ","-1"
"21208"," abfälligste ","-1"
"21209"," abfälligstem ","-1"
"21210"," abfälligsten ","-1"
"21211"," abfälligster ","-1"
"21212"," abfälligstes ","-1"
"17570"," abfallkorb ","-1"
"17571"," abfallprodukt ","-1"
"17572"," abfallquote ","-1"
"17573"," abfalls ","-1"
"17574"," abfallstoff ","-1"
"17575"," abfallstoffe ","-1"
"17577"," abfallstück ","-1"
"17576"," abfallstutzen ","-1"
"1"," abfangschirm ","1"
